"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","114,800","121,100","125,000","114,500","4.44M","-3.53%"
"11/01/2024","119,000","117,800","126,200","115,800","6.02M","1.71%"
"10/01/2024","117,000","136,300","140,100","117,000","5.56M","-15.09%"
"09/01/2024","137,800","148,100","155,400","137,800","4.97M","-6.70%"
"08/01/2024","147,700","153,800","153,800","132,800","5.05M","-4.89%"
"07/01/2024","155,300","141,000","157,600","140,100","6.45M","9.37%"
"06/01/2024","142,000","136,200","142,300","129,500","5.53M","5.11%"
"05/01/2024","135,100","149,400","154,800","133,200","5.48M","-9.99%"
"04/01/2024","150,100","160,300","160,400","136,600","6.95M","-5.30%"
"03/01/2024","158,500","162,000","170,800","149,800","11.26M","1.15%"
"02/01/2024","156,700","140,100","171,700","137,100","18.49M","13.55%"
"01/01/2024","138,000","128,100","138,300","115,400","6.56M","6.56%"
"12/01/2023","129,500","118,900","135,000","118,400","5.57M","8.55%"
"11/01/2023","119,300","107,400","119,300","105,100","4.64M","11.81%"
"10/01/2023","106,700","106,500","109,500","103,200","3.89M","-0.84%"
"09/01/2023","107,600","104,800","110,200","104,700","3.28M","2.77%"
"08/01/2023","104,700","102,900","107,700","101,800","4.66M","1.36%"
"07/01/2023","103,300","105,900","106,400","99,300","5.15M","-2.27%"
"06/01/2023","105,700","110,700","112,400","104,000","4.57M","-4.43%"
"05/01/2023","110,600","109,100","112,600","108,700","3.73M","0.91%"
"04/01/2023","109,600","108,200","111,000","105,500","4.58M","1.29%"
"03/01/2023","108,200","110,000","112,600","106,400","4.84M","-1.73%"
"02/01/2023","110,100","118,600","120,000","110,100","7.01M","-7.09%"
"01/01/2023","118,500","114,500","121,500","109,500","4.19M","4.41%"
"12/01/2022","113,500","122,500","123,000","113,000","4.41M","-6.97%"
"11/01/2022","122,000","119,000","127,000","116,500","5.88M","2.95%"
"10/01/2022","118,500","104,000","120,000","104,000","5.16M","14.49%"
"09/01/2022","103,500","119,000","119,500","102,000","5.26M","-14.11%"
"08/01/2022","120,500","120,500","125,500","116,500","5.41M","0.00%"
"07/01/2022","120,500","124,000","124,500","110,500","6.19M","-2.03%"
"06/01/2022","123,000","119,500","125,000","108,000","7.07M","1.65%"
"05/01/2022","121,000","114,000","121,500","110,500","5.22M","4.76%"
"04/01/2022","115,500","112,500","116,000","106,500","4.57M","1.32%"
"03/01/2022","114,000","109,500","119,000","106,500","5.34M","3.64%"
"02/01/2022","110,000","108,500","113,500","105,000","4.98M","2.80%"
"01/01/2022","107,000","120,500","120,500","101,500","6.11M","-10.08%"
"12/01/2021","119,000","105,500","122,000","105,500","7.20M","12.80%"
"11/01/2021","105,500","114,500","119,000","104,000","6.63M","-7.46%"
"10/01/2021","114,000","122,500","124,500","113,500","5.72M","-7.69%"
"09/01/2021","123,500","132,500","134,000","121,000","5.23M","-7.14%"
"08/01/2021","133,000","142,000","146,000","126,500","8.35M","-6.01%"
"07/01/2021","141,500","136,000","144,500","126,500","8.69M","3.66%"
"06/01/2021","136,500","139,000","145,000","131,500","8.81M","-1.44%"
"05/01/2021","138,500","138,000","141,500","130,500","9.19M","1.84%"
"04/01/2021","136,000","125,000","142,500","123,000","15.20M","9.24%"
"03/01/2021","124,500","123,500","127,000","117,000","9.87M","2.47%"
"02/01/2021","121,500","129,000","137,500","120,000","12.20M","-6.54%"
"01/01/2021","130,000","138,500","160,000","128,000","28.33M","-5.80%"
"12/01/2020","138,000","121,500","141,000","120,500","19.42M","14.52%"
"11/01/2020","120,500","111,500","126,500","109,500","13.45M","9.05%"
"10/01/2020","110,500","105,000","126,000","101,500","19.99M","5.24%"
"09/01/2020","105,000","107,500","116,500","102,000","10.24M","-2.78%"
"08/01/2020","108,000","105,500","130,000","103,500","17.67M","1.89%"
"07/01/2020","106,000","116,500","116,500","104,500","8.96M","-8.62%"
"06/01/2020","116,000","101,500","126,000","101,000","20.98M","17.05%"
"05/01/2020","99,100","103,000","110,500","97,700","9.01M","-6.51%"
"04/01/2020","106,000","87,900","107,000","83,000","10.67M","18.30%"
"03/01/2020","89,600","106,000","112,000","73,500","12.56M","-15.07%"
"02/01/2020","105,500","106,500","121,500","105,000","7.91M","-2.76%"
"01/01/2020","108,500","109,000","119,000","103,000","7.59M","0.00%"